"","(Intercept)","aspect","bldg","dforcore","dfresh","dmarine","elev","pfor","pgra","ptcc","pwet","road","slope","df","logLik","AICc","delta","weight"
"1538",0,4.78480239612183,NA,NA,NA,NA,NA,NA,NA,NA,1.71330024663629,3.36353933953168,NA,5,-115.142331585354,240.313031965034,10.9403489851867,5.24113392440892e-05
"3473",0,NA,NA,NA,NA,-1.07773241891009,NA,NA,-60.1535216626559,-3.10202514829751,NA,2.62828055734895,0.855619724053115,7,-113.130330379858,240.313665965584,10.9409829857372,5.239472746823e-05
"2457",0,NA,NA,NA,3.04850839590473,-0.128248279542092,NA,NA,-68.1896962579857,-4.61957032807934,NA,NA,0.982194773008802,7,-113.130449389833,240.313903985534,10.9412210056872,5.23884923440517e-05
"2445",0,NA,NA,-0.0157116206689465,3.08427387440758,NA,NA,NA,-68.0277905307562,-4.6499954776945,NA,NA,0.982449089470735,7,-113.131831796059,240.316668797986,10.9439858181387,5.23161202014552e-05
"316",0,5.01103145231601,4.85130637903098,NA,-1.4818166067197,-1.5415886038206,5.12405981647097,NA,NA,-0.650826466118554,NA,NA,NA,8,-112.12633952627,240.320860870722,10.9481778908749,5.22065785526196e-05
"3015",0,NA,5.03800398040343,1.13497055413886,NA,NA,NA,3.4145874681728,-60.0871671966016,-3.42692875783943,1.86093482765929,NA,0.48298694101825,9,-111.120242915518,240.325753476702,10.9530704968547,5.20790215285907e-05
"3396",0,5.03408857769968,5.4370737117346,NA,NA,NA,NA,4.34519231162359,NA,-2.10043919969557,NA,3.55200995573681,1.78070037781823,8,-112.129534459757,240.327250737695,10.9545677578483,5.20400481749708e-05
"3891",0,NA,4.92499269154513,NA,NA,-0.33144574153305,5.31768873512119,NA,NA,-0.883631061276797,4.07800536835506,2.76437433690813,0.58879944763171,9,-111.121145474553,240.327558594772,10.954875614925,5.20320383429076e-05
"2455",0,NA,4.20967960042324,1.3279387733255,NA,-1.07893017995775,NA,NA,-59.0510655609601,-1.54470324607908,NA,NA,0.896596930656725,8,-112.131262276894,240.330706371971,10.9580233921235,5.19502101221058e-05
"3987",0,NA,4.24635075155557,NA,NA,-0.44065657368958,NA,NA,-55.204009996697,-1.25881118322365,2.26495605206384,2.71418152026424,0.671203387602195,9,-111.123151153847,240.331569953361,10.9588869735135,5.19277833469579e-05
